Player Name,Team,Pos,Games,OG,OA,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Connor McDavid,EDM,C,82,64,89,153,22,36,352,11,21,50,4,3,89,40
David Pastrnak,BOS,RW,82,61,52,113,34,38,407,13,18,19,0,0,91,33
Mikko Rantanen,COL,RW,82,55,50,105,15,82,306,9,13,24,0,0,77,41
Leon Draisaitl,EDM,C,80,52,76,128,7,24,247,11,32,30,1,1,66,40
Brayden Point,TB,C,82,51,44,95,2,7,235,9,20,10,0,0,37,37
Tage Thompson,BUF,RW,78,47,47,94,4,39,295,7,20,14,1,0,55,26
Jason Robertson,DAL,LW,82,46,63,109,37,20,313,7,13,28,0,0,57,19
Jack Hughes,NJ,C,78,43,56,99,10,6,336,6,9,22,0,0,12,30
Carter Verhaeghe,FLA,C,81,42,31,73,10,46,275,2,7,6,0,0,29,31
Alex Ovechkin,WAS,LW,73,42,33,75,-16,48,294,3,14,11,0,0,188,23
Mark Scheifele,WPG,C,81,42,26,68,-16,43,206,10,12,10,0,0,50,38
Nathan MacKinnon,COL,C,71,42,69,111,29,30,366,9,12,22,0,0,53,40
Adrian Kempe,LA,C,82,41,26,67,22,55,250,6,11,9,3,0,119,32
William Nylander,TOR,C,82,40,47,87,10,28,293,5,9,19,0,0,18,26
Jared McCann,SEA,C,79,40,30,70,18,14,210,3,7,9,3,0,65,28
Auston Matthews,TOR,C,74,40,45,85,31,20,327,8,13,15,0,0,78,92
Matthew Tkachuk,FLA,LW,79,40,69,109,29,123,322,6,14,22,0,1,68,31
Timo Meier,NJ,LW,78,40,26,66,-19,43,327,5,17,6,0,0,154,37
Kirill Kaprizov,MIN,LW,67,40,35,75,4,35,261,6,17,15,0,0,66,28
Andrei Kuzmenko,VAN,LW,81,39,35,74,9,8,143,4,14,5,0,0,13,18
Mika Zibanejad,NYR,C,82,39,52,91,25,20,251,5,20,19,1,1,71,48
Tim Stutzle,OTT,LW,78,39,51,90,-3,54,228,3,10,18,3,0,114,49
Elias Pettersson,VAN,C,80,39,63,102,16,14,257,6,6,19,5,4,74,89
Bo Horvat,NYI,C,79,38,32,70,-1,18,229,5,12,10,4,1,57,55
Clayton Keller,ARI,C,82,37,49,86,-2,49,223,4,6,14,1,0,18,34
Jordan Kyrou,STL,RW,79,37,36,73,-38,22,272,5,11,12,0,1,14,35
Roope Hintz,DAL,LW,73,37,38,75,31,30,184,5,9,12,3,0,47,45
Ryan Nugent-Hopkins,EDM,LW,82,37,67,104,12,35,201,3,15,38,1,3,48,26
John Tavares,TOR,C,80,36,44,80,-7,34,277,9,18,21,0,0,112,36
Chris Kreider,NYR,LW,79,36,18,54,21,26,229,3,8,9,4,0,128,24
Brock Nelson,NYI,C,82,36,39,75,13,24,222,8,6,11,0,0,50,43
Zach Hyman,EDM,RW,79,36,47,83,13,39,276,3,15,11,0,0,77,19
Sebastian Aho,CAR,LW,75,36,31,67,8,42,218,9,7,8,3,1,59,21
Jake Guentzel,PIT,LW,78,36,37,73,2,46,243,6,11,12,0,0,83,46
Alex Tuch,BUF,RW,74,36,43,79,14,20,218,9,8,12,1,0,54,46
